id,format,variant,is_fp64,hack_size,cpu_mt_nthreads,time_it_took
1,csr,v1,1,0,0,0.0386899
2,csr,v1,1,0,0,0.0374962
3,csr,v1,1,0,0,0.037411
4,csr,v1,1,0,0,0.0378229
5,csr,v1,1,0,0,0.0375592
6,csr,v1,1,0,0,0.0375423
7,csr,v1,1,0,0,0.0371999
8,csr,v1,1,0,0,0.0371953
9,csr,v1,1,0,0,0.0377828
10,csr,v1,1,0,0,0.0374769
11,csr,v1,1,0,0,0.0373483
12,csr,v1,1,0,0,0.0375156
13,csr,v1,1,0,0,0.0377972
14,csr,v1,1,0,0,0.0375397
15,csr,v1,1,0,0,0.0377665
16,csr,v1,1,0,0,0.0377852
17,csr,v1,1,0,0,0.0374443
18,csr,v1,1,0,0,0.0378009
19,csr,v1,1,0,0,0.0373612
20,csr,v1,1,0,0,0.037531
21,csr,v1,1,0,0,0.0376904
22,csr,v1,1,0,0,0.0378218
23,csr,v1,1,0,0,0.0374101
24,csr,v1,1,0,0,0.03775
25,csr,v1,1,0,0,0.0376734
26,csr,v1,1,0,0,0.0373903
27,csr,v1,1,0,0,0.0374809
28,csr,v1,1,0,0,0.0376544
29,csr,v1,1,0,0,0.0373532
30,csr,v1,1,0,0,0.0389351
31,csr,v1,1,0,0,0.0376862
32,csr,v1,1,0,0,0.037674
33,csr,v1,1,0,0,0.0392281
34,csr,v1,1,0,0,0.0378947
35,csr,v1,1,0,0,0.0376973
36,csr,v1,1,0,0,0.0389707
37,csr,v1,1,0,0,0.0376425
38,csr,v1,1,0,0,0.0373958
39,csr,v1,1,0,0,0.0391621
40,csr,v1,1,0,0,0.0373464
41,csr,v1,1,0,0,0.0375884
42,csr,v1,1,0,0,0.0374936
43,csr,v1,1,0,0,0.0393608
44,csr,v1,1,0,0,0.0376458
45,csr,v1,1,0,0,0.0374837
46,csr,v1,1,0,0,0.0376464
47,csr,v1,1,0,0,0.0375765
48,csr,v1,1,0,0,0.0380013
49,csr,v1,1,0,0,0.0376627
50,csr,v1,1,0,0,0.037657
51,hll,v1,1,1024,0,0.0413912
52,hll,v1,1,1024,0,0.0382123
53,hll,v1,1,1024,0,0.0380887
54,hll,v1,1,1024,0,0.038323
55,hll,v1,1,1024,0,0.0382371
56,hll,v1,1,1024,0,0.0382374
57,hll,v1,1,1024,0,0.037978
58,hll,v1,1,1024,0,0.0382382
59,hll,v1,1,1024,0,0.0378897
60,hll,v1,1,1024,0,0.0380171
61,hll,v1,1,1024,0,0.0380168
62,hll,v1,1,1024,0,0.0382338
63,hll,v1,1,1024,0,0.0382531
64,hll,v1,1,1024,0,0.0382053
65,hll,v1,1,1024,0,0.0380406
66,hll,v1,1,1024,0,0.0380465
67,hll,v1,1,1024,0,0.0384033
68,hll,v1,1,1024,0,0.0380613
69,hll,v1,1,1024,0,0.038322
70,hll,v1,1,1024,0,0.038219
71,hll,v1,1,1024,0,0.0383092
72,hll,v1,1,1024,0,0.0383783
73,hll,v1,1,1024,0,0.0384654
74,hll,v1,1,1024,0,0.0384882
75,hll,v1,1,1024,0,0.0382302
76,hll,v1,1,1024,0,0.0383187
77,hll,v1,1,1024,0,0.0382028
78,hll,v1,1,1024,0,0.039845
79,hll,v1,1,1024,0,0.0380909
80,hll,v1,1,1024,0,0.0383268
81,hll,v1,1,1024,0,0.0382707
82,hll,v1,1,1024,0,0.0378822
83,hll,v1,1,1024,0,0.0381433
84,hll,v1,1,1024,0,0.0381297
85,hll,v1,1,1024,0,0.0380456
86,hll,v1,1,1024,0,0.0379016
87,hll,v1,1,1024,0,0.0399604
88,hll,v1,1,1024,0,0.0378396
89,hll,v1,1,1024,0,0.0380857
90,hll,v1,1,1024,0,0.03832
91,hll,v1,1,1024,0,0.0379641
92,hll,v1,1,1024,0,0.0385274
93,hll,v1,1,1024,0,0.0385581
94,hll,v1,1,1024,0,0.0382669
95,hll,v1,1,1024,0,0.0380395
96,hll,v1,1,1024,0,0.0383016
97,hll,v1,1,1024,0,0.0383057
98,hll,v1,1,1024,0,0.0383883
99,hll,v1,1,1024,0,0.038318
100,hll,v1,1,1024,0,0.0380498
