id,format,variant,is_fp64,hack_size,cpu_mt_nthreads,time_it_took
1,csr,v1,1,0,0,5.3792e-05
2,csr,v1,1,0,0,5.4976e-05
3,csr,v1,1,0,0,5.36e-05
4,csr,v1,1,0,0,5.4368e-05
5,csr,v1,1,0,0,5.4752e-05
6,csr,v1,1,0,0,5.3856e-05
7,csr,v1,1,0,0,5.4528e-05
8,csr,v1,1,0,0,5.4048e-05
9,csr,v1,1,0,0,5.3248e-05
10,csr,v1,1,0,0,5.3248e-05
11,csr,v1,1,0,0,5.4016e-05
12,csr,v1,1,0,0,5.4976e-05
13,csr,v1,1,0,0,5.3632e-05
14,csr,v1,1,0,0,5.4368e-05
15,csr,v1,1,0,0,5.3056e-05
16,csr,v1,1,0,0,5.3248e-05
17,csr,v1,1,0,0,5.3248e-05
18,csr,v1,1,0,0,5.3248e-05
19,csr,v1,1,0,0,5.3504e-05
20,csr,v1,1,0,0,5.2896e-05
21,csr,v1,1,0,0,5.4304e-05
22,csr,v1,1,0,0,5.4336e-05
23,csr,v1,1,0,0,5.4432e-05
24,csr,v1,1,0,0,5.3728e-05
25,csr,v1,1,0,0,5.328e-05
26,csr,v1,1,0,0,5.4528e-05
27,csr,v1,1,0,0,5.3088e-05
28,csr,v1,1,0,0,5.3216e-05
29,csr,v1,1,0,0,5.3248e-05
30,csr,v1,1,0,0,5.3568e-05
31,csr,v1,1,0,0,5.4976e-05
32,csr,v1,1,0,0,5.488e-05
33,csr,v1,1,0,0,5.5008e-05
34,csr,v1,1,0,0,5.3536e-05
35,csr,v1,1,0,0,5.3088e-05
36,csr,v1,1,0,0,5.3728e-05
37,csr,v1,1,0,0,5.3536e-05
38,csr,v1,1,0,0,5.4144e-05
39,csr,v1,1,0,0,5.3728e-05
40,csr,v1,1,0,0,5.3248e-05
41,csr,v1,1,0,0,5.1744e-05
42,csr,v1,1,0,0,5.4944e-05
43,csr,v1,1,0,0,5.4528e-05
44,csr,v1,1,0,0,5.3024e-05
45,csr,v1,1,0,0,5.9808e-05
46,csr,v1,1,0,0,5.3248e-05
47,csr,v1,1,0,0,5.488e-05
48,csr,v1,1,0,0,5.392e-05
49,csr,v1,1,0,0,5.3792e-05
50,csr,v1,1,0,0,5.3248e-05
51,csr,v2,1,0,0,5.312e-05
52,csr,v2,1,0,0,5.5296e-05
53,csr,v2,1,0,0,5.2672e-05
54,csr,v2,1,0,0,5.408e-05
55,csr,v2,1,0,0,5.2704e-05
56,csr,v2,1,0,0,6.1504e-05
57,csr,v2,1,0,0,5.3376e-05
58,csr,v2,1,0,0,5.3952e-05
59,csr,v2,1,0,0,5.3888e-05
60,csr,v2,1,0,0,5.4592e-05
61,csr,v2,1,0,0,5.3888e-05
62,csr,v2,1,0,0,5.4816e-05
63,csr,v2,1,0,0,5.5168e-05
64,csr,v2,1,0,0,5.3248e-05
65,csr,v2,1,0,0,5.4432e-05
66,csr,v2,1,0,0,5.488e-05
67,csr,v2,1,0,0,5.2544e-05
68,csr,v2,1,0,0,5.3184e-05
69,csr,v2,1,0,0,5.3504e-05
70,csr,v2,1,0,0,5.392e-05
71,csr,v2,1,0,0,5.4624e-05
72,csr,v2,1,0,0,5.456e-05
73,csr,v2,1,0,0,5.3248e-05
74,csr,v2,1,0,0,6.192e-05
75,csr,v2,1,0,0,5.3536e-05
76,csr,v2,1,0,0,5.392e-05
77,csr,v2,1,0,0,5.3824e-05
78,csr,v2,1,0,0,5.4848e-05
79,csr,v2,1,0,0,6.3456e-05
80,csr,v2,1,0,0,5.3472e-05
81,csr,v2,1,0,0,5.3024e-05
82,csr,v2,1,0,0,5.5488e-05
83,csr,v2,1,0,0,5.5168e-05
84,csr,v2,1,0,0,5.3056e-05
85,csr,v2,1,0,0,5.4848e-05
86,csr,v2,1,0,0,5.4208e-05
87,csr,v2,1,0,0,5.4848e-05
88,csr,v2,1,0,0,5.3248e-05
89,csr,v2,1,0,0,5.5072e-05
90,csr,v2,1,0,0,5.5296e-05
91,csr,v2,1,0,0,5.3696e-05
92,csr,v2,1,0,0,5.5136e-05
93,csr,v2,1,0,0,5.4976e-05
94,csr,v2,1,0,0,5.5744e-05
95,csr,v2,1,0,0,5.5328e-05
96,csr,v2,1,0,0,5.4752e-05
97,csr,v2,1,0,0,5.3696e-05
98,csr,v2,1,0,0,5.3248e-05
99,csr,v2,1,0,0,5.4368e-05
100,csr,v2,1,0,0,5.504e-05
101,csr,v3,1,0,0,5.712e-05
102,csr,v3,1,0,0,5.76e-05
103,csr,v3,1,0,0,5.8336e-05
104,csr,v3,1,0,0,5.8336e-05
105,csr,v3,1,0,0,5.9104e-05
106,csr,v3,1,0,0,5.8816e-05
107,csr,v3,1,0,0,5.7984e-05
