id,format,variant,is_fp64,hack_size,cpu_mt_nthreads,time_it_took
1,csr,v1,1,0,0,0.00564213
2,csr,v1,1,0,0,0.0055763
3,csr,v1,1,0,0,0.00556524
4,csr,v1,1,0,0,0.00552273
5,csr,v1,1,0,0,0.00552512
6,csr,v1,1,0,0,0.00554098
7,csr,v1,1,0,0,0.00549489
8,csr,v1,1,0,0,0.00551665
9,csr,v1,1,0,0,0.00558064
10,csr,v1,1,0,0,0.00550676
11,csr,v1,1,0,0,0.00554266
12,csr,v1,1,0,0,0.00550049
13,csr,v1,1,0,0,0.00556196
14,csr,v1,1,0,0,0.00554899
15,csr,v1,1,0,0,0.00548863
16,csr,v1,1,0,0,0.00557844
17,csr,v1,1,0,0,0.00557868
18,csr,v1,1,0,0,0.00551594
19,csr,v1,1,0,0,0.005526
20,csr,v1,1,0,0,0.0055836
21,csr,v1,1,0,0,0.00551482
22,csr,v1,1,0,0,0.00552369
23,csr,v1,1,0,0,0.00547703
24,csr,v1,1,0,0,0.00550915
25,csr,v1,1,0,0,0.00552266
26,csr,v1,1,0,0,0.00553585
27,csr,v1,1,0,0,0.0055371
28,csr,v1,1,0,0,0.00556635
29,csr,v1,1,0,0,0.00552635
30,csr,v1,1,0,0,0.00552281
31,csr,v1,1,0,0,0.0055478
32,csr,v1,1,0,0,0.00558664
33,csr,v1,1,0,0,0.00552604
34,csr,v1,1,0,0,0.00552943
35,csr,v1,1,0,0,0.0054946
36,csr,v1,1,0,0,0.0055004
37,csr,v1,1,0,0,0.00554775
38,csr,v1,1,0,0,0.00553239
39,csr,v1,1,0,0,0.00552853
40,csr,v1,1,0,0,0.00555583
41,csr,v1,1,0,0,0.00551215
42,csr,v1,1,0,0,0.00553252
43,csr,v1,1,0,0,0.00550629
44,csr,v1,1,0,0,0.00554831
45,csr,v1,1,0,0,0.00552399
46,csr,v1,1,0,0,0.00553163
47,csr,v1,1,0,0,0.00553168
48,csr,v1,1,0,0,0.00554086
49,csr,v1,1,0,0,0.00554889
50,csr,v1,1,0,0,0.00558184
51,hll,v1,1,1024,0,0.0067369
52,hll,v1,1,1024,0,0.00622653
53,hll,v1,1,1024,0,0.006313
54,hll,v1,1,1024,0,0.00636337
55,hll,v1,1,1024,0,0.00633962
56,hll,v1,1,1024,0,0.00631758
57,hll,v1,1,1024,0,0.00634031
58,hll,v1,1,1024,0,0.00625349
59,hll,v1,1,1024,0,0.0062533
60,hll,v1,1,1024,0,0.00632691
61,hll,v1,1,1024,0,0.00638934
62,hll,v1,1,1024,0,0.00630523
63,hll,v1,1,1024,0,0.00634273
64,hll,v1,1,1024,0,0.00636158
65,hll,v1,1,1024,0,0.00620149
66,hll,v1,1,1024,0,0.00618637
67,hll,v1,1,1024,0,0.00623529
68,hll,v1,1,1024,0,0.00632852
69,hll,v1,1,1024,0,0.00635405
70,hll,v1,1,1024,0,0.00635772
71,hll,v1,1,1024,0,0.00622471
72,hll,v1,1,1024,0,0.00626461
73,hll,v1,1,1024,0,0.00635548
74,hll,v1,1,1024,0,0.0063552
75,hll,v1,1,1024,0,0.00637507
76,hll,v1,1,1024,0,0.00627637
77,hll,v1,1,1024,0,0.00629057
78,hll,v1,1,1024,0,0.00629236
79,hll,v1,1,1024,0,0.00634066
80,hll,v1,1,1024,0,0.00635911
81,hll,v1,1,1024,0,0.00623017
82,hll,v1,1,1024,0,0.00619982
83,hll,v1,1,1024,0,0.0062573
84,hll,v1,1,1024,0,0.00632399
85,hll,v1,1,1024,0,0.00633894
86,hll,v1,1,1024,0,0.00636065
87,hll,v1,1,1024,0,0.00637691
88,hll,v1,1,1024,0,0.00647582
89,hll,v1,1,1024,0,0.00621263
90,hll,v1,1,1024,0,0.00621219
91,hll,v1,1,1024,0,0.00623411
92,hll,v1,1,1024,0,0.00630565
93,hll,v1,1,1024,0,0.00697251
94,hll,v1,1,1024,0,0.00635469
95,hll,v1,1,1024,0,0.00635464
96,hll,v1,1,1024,0,0.00629758
97,hll,v1,1,1024,0,0.00631379
98,hll,v1,1,1024,0,0.00634953
99,hll,v1,1,1024,0,0.00640801
100,hll,v1,1,1024,0,0.00626892
