id,format,variant,is_fp64,hack_size,cpu_mt_nthreads,time_it_took
1,csr,v1,1,0,0,0.0411526
2,csr,v1,1,0,0,0.0390307
3,csr,v1,1,0,0,0.0389952
4,csr,v1,1,0,0,0.0386473
5,csr,v1,1,0,0,0.038981
6,csr,v1,1,0,0,0.038573
7,csr,v1,1,0,0,0.0386096
8,csr,v1,1,0,0,0.0389559
9,csr,v1,1,0,0,0.0388343
10,csr,v1,1,0,0,0.038959
11,csr,v1,1,0,0,0.0389169
12,csr,v1,1,0,0,0.0388027
13,csr,v1,1,0,0,0.0385811
14,csr,v1,1,0,0,0.0386564
15,csr,v1,1,0,0,0.0384281
16,csr,v1,1,0,0,0.0389
17,csr,v1,1,0,0,0.0387573
18,csr,v1,1,0,0,0.0388384
19,csr,v1,1,0,0,0.0389919
20,csr,v1,1,0,0,0.0403039
21,csr,v1,1,0,0,0.038736
22,csr,v1,1,0,0,0.0404125
23,csr,v1,1,0,0,0.0388243
24,csr,v1,1,0,0,0.0388273
25,csr,v1,1,0,0,0.0388958
26,csr,v1,1,0,0,0.0446941
27,csr,v1,1,0,0,0.03853
28,csr,v1,1,0,0,0.0402522
29,csr,v1,1,0,0,0.0384717
30,csr,v1,1,0,0,0.0389099
31,csr,v1,1,0,0,0.0400927
32,csr,v1,1,0,0,0.0389336
33,csr,v1,1,0,0,0.0385163
34,csr,v1,1,0,0,0.0386628
35,csr,v1,1,0,0,0.0392729
36,csr,v1,1,0,0,0.0392198
37,csr,v1,1,0,0,0.0387003
38,csr,v1,1,0,0,0.0389583
39,csr,v1,1,0,0,0.0387103
40,csr,v1,1,0,0,0.0386047
41,csr,v1,1,0,0,0.0388685
42,csr,v1,1,0,0,0.038916
43,csr,v1,1,0,0,0.0388859
44,csr,v1,1,0,0,0.03856
45,csr,v1,1,0,0,0.0388254
46,csr,v1,1,0,0,0.0388169
47,csr,v1,1,0,0,0.0388812
48,csr,v1,1,0,0,0.038834
49,csr,v1,1,0,0,0.0390105
50,csr,v1,1,0,0,0.0385294
51,hll,v1,1,1024,0,0.0436378
52,hll,v1,1,1024,0,0.0419503
53,hll,v1,1,1024,0,0.0418462
54,hll,v1,1,1024,0,0.041648
55,hll,v1,1,1024,0,0.0418844
56,hll,v1,1,1024,0,0.0414652
57,hll,v1,1,1024,0,0.041773
58,hll,v1,1,1024,0,0.0412695
59,hll,v1,1,1024,0,0.0434031
60,hll,v1,1,1024,0,0.0414387
61,hll,v1,1,1024,0,0.0416412
62,hll,v1,1,1024,0,0.0415436
63,hll,v1,1,1024,0,0.0415591
64,hll,v1,1,1024,0,0.041903
65,hll,v1,1,1024,0,0.0418024
66,hll,v1,1,1024,0,0.0417252
67,hll,v1,1,1024,0,0.0433556
68,hll,v1,1,1024,0,0.0416705
69,hll,v1,1,1024,0,0.0417183
70,hll,v1,1,1024,0,0.041394
71,hll,v1,1,1024,0,0.0419207
72,hll,v1,1,1024,0,0.0420563
73,hll,v1,1,1024,0,0.0418983
74,hll,v1,1,1024,0,0.0416949
75,hll,v1,1,1024,0,0.0416851
76,hll,v1,1,1024,0,0.0417367
77,hll,v1,1,1024,0,0.0417457
78,hll,v1,1,1024,0,0.0416517
79,hll,v1,1,1024,0,0.0416668
80,hll,v1,1,1024,0,0.0419861
81,hll,v1,1,1024,0,0.0419967
82,hll,v1,1,1024,0,0.0417145
83,hll,v1,1,1024,0,0.0417639
84,hll,v1,1,1024,0,0.041852
85,hll,v1,1,1024,0,0.0416256
86,hll,v1,1,1024,0,0.04185
87,hll,v1,1,1024,0,0.0416867
88,hll,v1,1,1024,0,0.0418128
89,hll,v1,1,1024,0,0.0418188
90,hll,v1,1,1024,0,0.0418217
91,hll,v1,1,1024,0,0.0417607
92,hll,v1,1,1024,0,0.0431186
93,hll,v1,1,1024,0,0.0418412
94,hll,v1,1,1024,0,0.0433082
95,hll,v1,1,1024,0,0.0417344
96,hll,v1,1,1024,0,0.041699
97,hll,v1,1,1024,0,0.0434571
98,hll,v1,1,1024,0,0.0416568
99,hll,v1,1,1024,0,0.0418402
100,hll,v1,1,1024,0,0.0431466
