id,format,variant,is_fp64,hack_size,cpu_mt_nthreads,time_it_took
1,csr,v1,1,0,0,0.00122099
2,csr,v1,1,0,0,0.00122515
3,csr,v1,1,0,0,0.0011844
4,csr,v1,1,0,0,0.00116445
5,csr,v1,1,0,0,0.00116844
6,csr,v1,1,0,0,0.00116836
7,csr,v1,1,0,0,0.00116491
8,csr,v1,1,0,0,0.00117909
9,csr,v1,1,0,0,0.00117286
10,csr,v1,1,0,0,0.00116956
11,csr,v1,1,0,0,0.00117237
12,csr,v1,1,0,0,0.00116676
13,csr,v1,1,0,0,0.00117831
14,csr,v1,1,0,0,0.00116807
15,csr,v1,1,0,0,0.00117179
16,csr,v1,1,0,0,0.00117385
17,csr,v1,1,0,0,0.00116662
18,csr,v1,1,0,0,0.0011724
19,csr,v1,1,0,0,0.00116719
20,csr,v1,1,0,0,0.00116767
21,csr,v1,1,0,0,0.0011726
22,csr,v1,1,0,0,0.00117259
23,csr,v1,1,0,0,0.00118043
24,csr,v1,1,0,0,0.00117497
25,csr,v1,1,0,0,0.00117166
26,csr,v1,1,0,0,0.00117588
27,csr,v1,1,0,0,0.00116948
28,csr,v1,1,0,0,0.00118348
29,csr,v1,1,0,0,0.00116874
30,csr,v1,1,0,0,0.00116885
31,csr,v1,1,0,0,0.00122287
32,csr,v1,1,0,0,0.0012012
33,csr,v1,1,0,0,0.00117205
34,csr,v1,1,0,0,0.00117052
35,csr,v1,1,0,0,0.00116547
36,csr,v1,1,0,0,0.00117413
37,csr,v1,1,0,0,0.00117838
38,csr,v1,1,0,0,0.001173
39,csr,v1,1,0,0,0.00117223
40,csr,v1,1,0,0,0.00116922
41,csr,v1,1,0,0,0.00116945
42,csr,v1,1,0,0,0.00117691
43,csr,v1,1,0,0,0.00117295
44,csr,v1,1,0,0,0.00116425
45,csr,v1,1,0,0,0.00117151
46,csr,v1,1,0,0,0.00116646
47,csr,v1,1,0,0,0.00117483
48,csr,v1,1,0,0,0.00116881
49,csr,v1,1,0,0,0.00116217
50,csr,v1,1,0,0,0.0011666
51,hll,v1,1,1024,0,0.00172494
52,hll,v1,1,1024,0,0.00171919
53,hll,v1,1,1024,0,0.00171166
54,hll,v1,1,1024,0,0.00170318
55,hll,v1,1,1024,0,0.00171814
56,hll,v1,1,1024,0,0.00170701
57,hll,v1,1,1024,0,0.00170111
58,hll,v1,1,1024,0,0.00169629
59,hll,v1,1,1024,0,0.00169908
60,hll,v1,1,1024,0,0.00170092
61,hll,v1,1,1024,0,0.00170777
62,hll,v1,1,1024,0,0.00169368
63,hll,v1,1,1024,0,0.00170841
64,hll,v1,1,1024,0,0.00170555
65,hll,v1,1,1024,0,0.00169279
66,hll,v1,1,1024,0,0.00170601
67,hll,v1,1,1024,0,0.00170763
68,hll,v1,1,1024,0,0.00170108
69,hll,v1,1,1024,0,0.00170605
70,hll,v1,1,1024,0,0.00171019
71,hll,v1,1,1024,0,0.00171723
72,hll,v1,1,1024,0,0.00171339
73,hll,v1,1,1024,0,0.00170761
74,hll,v1,1,1024,0,0.00172423
75,hll,v1,1,1024,0,0.00172469
76,hll,v1,1,1024,0,0.00171885
77,hll,v1,1,1024,0,0.00171356
78,hll,v1,1,1024,0,0.00172814
79,hll,v1,1,1024,0,0.00172571
80,hll,v1,1,1024,0,0.00169876
81,hll,v1,1,1024,0,0.0016702
82,hll,v1,1,1024,0,0.00167957
83,hll,v1,1,1024,0,0.00167696
84,hll,v1,1,1024,0,0.00167521
85,hll,v1,1,1024,0,0.00168263
86,hll,v1,1,1024,0,0.00168331
87,hll,v1,1,1024,0,0.00168274
88,hll,v1,1,1024,0,0.00167743
89,hll,v1,1,1024,0,0.00167861
90,hll,v1,1,1024,0,0.00167711
91,hll,v1,1,1024,0,0.0016778
92,hll,v1,1,1024,0,0.00168274
93,hll,v1,1,1024,0,0.00168884
94,hll,v1,1,1024,0,0.0016838
95,hll,v1,1,1024,0,0.00167537
96,hll,v1,1,1024,0,0.00168735
97,hll,v1,1,1024,0,0.00169282
98,hll,v1,1,1024,0,0.00168204
99,hll,v1,1,1024,0,0.00169429
100,hll,v1,1,1024,0,0.00168697
