id,format,variant,is_fp64,hack_size,cpu_mt_nthreads,time_it_took
1,csr,v1,1,0,0,0.0124115
2,csr,v1,1,0,0,0.0126096
3,csr,v1,1,0,0,0.0121692
4,csr,v1,1,0,0,0.012219
5,csr,v1,1,0,0,0.0122152
6,csr,v1,1,0,0,0.0122013
7,csr,v1,1,0,0,0.0138085
8,csr,v1,1,0,0,0.0122147
9,csr,v1,1,0,0,0.0122311
10,csr,v1,1,0,0,0.012182
11,csr,v1,1,0,0,0.0122672
12,csr,v1,1,0,0,0.0122301
13,csr,v1,1,0,0,0.0122163
14,csr,v1,1,0,0,0.0122081
15,csr,v1,1,0,0,0.0137865
16,csr,v1,1,0,0,0.0122309
17,csr,v1,1,0,0,0.0122586
18,csr,v1,1,0,0,0.0122203
19,csr,v1,1,0,0,0.012199
20,csr,v1,1,0,0,0.0121722
21,csr,v1,1,0,0,0.0122182
22,csr,v1,1,0,0,0.0121685
23,csr,v1,1,0,0,0.0137499
24,csr,v1,1,0,0,0.0122283
25,csr,v1,1,0,0,0.0121992
26,csr,v1,1,0,0,0.0122415
27,csr,v1,1,0,0,0.0122237
28,csr,v1,1,0,0,0.0122006
29,csr,v1,1,0,0,0.0121912
30,csr,v1,1,0,0,0.0121917
31,csr,v1,1,0,0,0.0138344
32,csr,v1,1,0,0,0.0122057
33,csr,v1,1,0,0,0.0122127
34,csr,v1,1,0,0,0.0121986
35,csr,v1,1,0,0,0.0121843
36,csr,v1,1,0,0,0.0122174
37,csr,v1,1,0,0,0.012201
38,csr,v1,1,0,0,0.012226
39,csr,v1,1,0,0,0.0122134
40,csr,v1,1,0,0,0.0121912
41,csr,v1,1,0,0,0.0122013
42,csr,v1,1,0,0,0.0122453
43,csr,v1,1,0,0,0.0122542
44,csr,v1,1,0,0,0.0121953
45,csr,v1,1,0,0,0.0123163
46,csr,v1,1,0,0,0.0122978
47,csr,v1,1,0,0,0.0124038
48,csr,v1,1,0,0,0.0122806
49,csr,v1,1,0,0,0.0122367
50,csr,v1,1,0,0,0.0122743
51,hll,v1,1,1024,0,0.0131121
52,hll,v1,1,1024,0,0.0117327
53,hll,v1,1,1024,0,0.0112745
54,hll,v1,1,1024,0,0.0111664
55,hll,v1,1,1024,0,0.011005
56,hll,v1,1,1024,0,0.0109669
57,hll,v1,1,1024,0,0.0108508
58,hll,v1,1,1024,0,0.0109856
59,hll,v1,1,1024,0,0.0109332
60,hll,v1,1,1024,0,0.0109622
61,hll,v1,1,1024,0,0.0109708
62,hll,v1,1,1024,0,0.0107345
63,hll,v1,1,1024,0,0.0108086
64,hll,v1,1,1024,0,0.0108506
65,hll,v1,1,1024,0,0.0108856
66,hll,v1,1,1024,0,0.0108083
67,hll,v1,1,1024,0,0.010848
68,hll,v1,1,1024,0,0.0108187
69,hll,v1,1,1024,0,0.0108169
70,hll,v1,1,1024,0,0.0107677
71,hll,v1,1,1024,0,0.0108025
72,hll,v1,1,1024,0,0.0108401
73,hll,v1,1,1024,0,0.0108015
74,hll,v1,1,1024,0,0.0108025
75,hll,v1,1,1024,0,0.0108345
76,hll,v1,1,1024,0,0.0107216
77,hll,v1,1,1024,0,0.0108667
78,hll,v1,1,1024,0,0.0108787
79,hll,v1,1,1024,0,0.0107673
80,hll,v1,1,1024,0,0.0106978
81,hll,v1,1,1024,0,0.0107489
82,hll,v1,1,1024,0,0.0107394
83,hll,v1,1,1024,0,0.0109089
84,hll,v1,1,1024,0,0.0116379
85,hll,v1,1,1024,0,0.0109147
86,hll,v1,1,1024,0,0.0107853
87,hll,v1,1,1024,0,0.010825
88,hll,v1,1,1024,0,0.0108776
89,hll,v1,1,1024,0,0.0107936
90,hll,v1,1,1024,0,0.010884
91,hll,v1,1,1024,0,0.0108548
92,hll,v1,1,1024,0,0.0107442
93,hll,v1,1,1024,0,0.0107849
94,hll,v1,1,1024,0,0.0107911
95,hll,v1,1,1024,0,0.0106799
96,hll,v1,1,1024,0,0.0109302
97,hll,v1,1,1024,0,0.0107369
98,hll,v1,1,1024,0,0.0108509
99,hll,v1,1,1024,0,0.0107382
100,hll,v1,1,1024,0,0.0107554
