id,format,variant,is_fp64,hack_size,cpu_mt_nthreads,time_it_took
1,csr,v1,1,0,1,0.0010465
2,csr,v1,1,0,1,0.000974417
3,csr,v1,1,0,1,0.000933079
4,csr,v1,1,0,1,0.000935982
5,csr,v1,1,0,1,0.000934794
6,csr,v1,1,0,1,0.00093458
7,csr,v1,1,0,1,0.000933339
8,csr,v1,1,0,1,0.000934232
9,csr,v1,1,0,1,0.00093365
10,csr,v1,1,0,1,0.000934069
11,csr,v1,1,0,1,0.000931073
12,csr,v1,1,0,1,0.000930108
13,csr,v1,1,0,1,0.00093218
14,csr,v1,1,0,1,0.00093337
15,csr,v1,1,0,1,0.0009333
16,csr,v1,1,0,1,0.000928882
17,csr,v1,1,0,1,0.000931719
18,csr,v1,1,0,1,0.000933626
19,csr,v1,1,0,1,0.000952299
20,csr,v1,1,0,1,0.00101526
21,csr,v1,1,0,1,0.00099808
22,csr,v1,1,0,1,0.000964601
23,csr,v1,1,0,1,0.000934286
24,csr,v1,1,0,1,0.000932819
25,csr,v1,1,0,1,0.000932572
26,csr,v1,1,0,1,0.000928866
27,csr,v1,1,0,1,0.000930239
28,csr,v1,1,0,1,0.000930774
29,csr,v1,1,0,1,0.000932574
30,csr,v1,1,0,1,0.00093175
31,csr,v1,1,0,1,0.00093254
32,csr,v1,1,0,1,0.000930373
33,csr,v1,1,0,1,0.000933575
34,csr,v1,1,0,1,0.000932492
35,csr,v1,1,0,1,0.000938961
36,csr,v1,1,0,1,0.000931064
37,csr,v1,1,0,1,0.000931455
38,csr,v1,1,0,1,0.000931368
39,csr,v1,1,0,1,0.000929318
40,csr,v1,1,0,1,0.000927508
41,csr,v1,1,0,1,0.000930139
42,csr,v1,1,0,1,0.000929965
43,csr,v1,1,0,1,0.000929738
44,csr,v1,1,0,1,0.000931103
45,csr,v1,1,0,1,0.000930678
46,csr,v1,1,0,1,0.000933693
47,csr,v1,1,0,1,0.000989837
48,csr,v1,1,0,1,0.000932957
49,csr,v1,1,0,1,0.000931049
50,csr,v1,1,0,1,0.000934468
51,csr,v1,1,0,2,0.00077096
52,csr,v1,1,0,2,0.000619484
53,csr,v1,1,0,2,0.000527819
54,csr,v1,1,0,2,0.000519264
55,csr,v1,1,0,2,0.000521799
56,csr,v1,1,0,2,0.000515887
57,csr,v1,1,0,2,0.000514458
58,csr,v1,1,0,2,0.000519266
59,csr,v1,1,0,2,0.000514775
60,csr,v1,1,0,2,0.000515322
61,csr,v1,1,0,2,0.000521008
62,csr,v1,1,0,2,0.000515829
63,csr,v1,1,0,2,0.000515809
64,csr,v1,1,0,2,0.000520539
65,csr,v1,1,0,2,0.000514144
66,csr,v1,1,0,2,0.000516406
67,csr,v1,1,0,2,0.000519992
68,csr,v1,1,0,2,0.000515419
69,csr,v1,1,0,2,0.000516468
70,csr,v1,1,0,2,0.000519819
71,csr,v1,1,0,2,0.000514929
72,csr,v1,1,0,2,0.000515361
73,csr,v1,1,0,2,0.000520745
74,csr,v1,1,0,2,0.000514834
75,csr,v1,1,0,2,0.000515214
76,csr,v1,1,0,2,0.000518299
77,csr,v1,1,0,2,0.000514539
78,csr,v1,1,0,2,0.000515723
79,csr,v1,1,0,2,0.000519834
80,csr,v1,1,0,2,0.000515771
81,csr,v1,1,0,2,0.00051619
82,csr,v1,1,0,2,0.000520246
83,csr,v1,1,0,2,0.000514538
84,csr,v1,1,0,2,0.000514371
85,csr,v1,1,0,2,0.000520102
86,csr,v1,1,0,2,0.000514363
87,csr,v1,1,0,2,0.000515352
88,csr,v1,1,0,2,0.000518882
89,csr,v1,1,0,2,0.000514976
90,csr,v1,1,0,2,0.000515324
91,csr,v1,1,0,2,0.00051826
92,csr,v1,1,0,2,0.000515899
93,csr,v1,1,0,2,0.000514879
94,csr,v1,1,0,2,0.000520047
95,csr,v1,1,0,2,0.000516934
96,csr,v1,1,0,2,0.000515015
97,csr,v1,1,0,2,0.000521403
98,csr,v1,1,0,2,0.000513905
99,csr,v1,1,0,2,0.000515114
100,csr,v1,1,0,2,0.000519079
101,csr,v1,1,0,3,0.000454279
102,csr,v1,1,0,3,0.000360123
103,csr,v1,1,0,3,0.000357211
104,csr,v1,1,0,3,0.00035221
